Research Phase 1 Log
====================
Format: TIMESTAMP | DOMAIN_ID | PAPERS_FOUND | NOTES

2026-03-07T00:01 | training_load_acwr | 12 papers found | Good mix: 1 meta-analysis, 2 consensus, 3 running-specific, core ACWR papers + critique
2026-03-07T00:02 | polarized_training | 10 papers found | 3 meta-analyses (incl 2025 network meta), 4 RCTs, 3 running-specific studies, Seiler foundational work
2026-03-07T00:03 | interval_training | 12 papers found | 2 meta-analyses, Buchheit/Laursen framework, Billat foundational, Helgerud 4x4, running-specific SIT
2026-03-07T00:04 | long_run_physiology | 10 papers found | Mitochondrial biogenesis, glycogen metabolism, substrate utilization, marathon-specific physiology, training volume evidence
2026-03-07T00:05 | threshold_tempo | 10 papers found | LT concepts (Faude), MLSS (Billat, Philp), critical power (Jones, Poole), lactate-guided training (Casado), marathon modeling (Joyner)
2026-03-07T00:06 | easy_recovery_running | 8 papers found | 1 meta-regression (Mølmen 2025), fat oxidation (Achten), active recovery (Menzies, Sánchez-Otero), zone 2 critique (Storoschuk 2025), intensity-duration (Dudley 1982)
2026-03-07T00:07 | vo2max_development | 10 papers found | O2 delivery debate (Bassett, Saltin, Wagner), HERITAGE trainability (Bouchard), haematological (Lundby), cardiac (Levine), champions physiology (Joyner), aging decline (Hawkins), training prescription (Wenger, Crowley)
2026-03-07T00:08 | running_economy | 10 papers found | 3 meta-analyses (Van Hooren, Llanos-Lagos, Balsalobre-Fernández), foundational (Conley 1980), comprehensive reviews (Saunders, Barnes x2), measurement (Shaw, Fletcher), biomechanics (Moore)
2026-03-07T00:09 | lactate_threshold | 10 papers found | Foundational (Kindermann 1979, Heck 1985 4mmol), validity review (Faude 2009), measurement methods (Svedahl, Goodwin), MLSS reliability (Hauser), GXT protocol effects (Jamnick x2), predictive value (Heuberger, Yoshida)
2026-03-07T00:10 | marathon_training | 12 papers found | 5 SR/meta-analyses, training volume dose-response (Doherty), 119K runner intensity distribution (Muniz-Pumares 2025), tapering (Bosquet, Wang, Smyth), plan benchmarks (Knopp), pacing (Sha), nutrition (Hansen)
2026-03-07T01:01 | 5k_track_training | 8 papers found | 3 meta-analyses (Llanos-Lagos x2, Bacon), 1 SR (Blagrove), foundational RCTs (Paavolainen, Denham), speed endurance (Skovgaard), neuromuscular determinants (Nummela)
2026-03-07T01:02 | taper_science | 10 papers found | 2 meta-analyses (Bosquet 2007, Wang 2023), 3 RCTs, 158K recreational data (Smyth 2021), elite British practices (Spilsbury), landmark reviews (Mujika & Padilla 2003/2004)
2026-03-07T01:03 | periodisation | 10 papers found | 1 meta-analysis (Mølmen 2019), 3 RCTs (Stöggl, Filipas, Almquist), Rønnestad block periodization, 2 running-specific SRs (Kenneally, Casado), Issurin foundational reviews
2026-03-07T01:04 | strength_training_runners | 10 papers found | 7 meta-analyses/SRs, heavy RT vs plyo (Eihara), concurrent interference (Wilson), RE durability (Zanini 2025), injury prevention (Wu 2024), all running-specific
2026-03-07T01:05 | cross_training | 8 papers found | 1 SR (Kwok DWR), foundational DWR RCTs (Bushman, Wilber), elliptical comparison (Klein), post-marathon recovery (Martinez-Navarro), transfer review (Tanaka)
2026-03-07T01:06 | injury_prevention_general | 10 papers found | 4 meta-analyses (Lauersen x2, Videbæk, Peterson), umbrella review (Correia 2024), gait retraining RCT (Chan), biomechanical risk (Ceyssens), training load (Damsted)
2026-03-07T01:07 | injury_knee | 8 papers found | PFP: biomechanics SR (Neal 2016), risk meta (Neal 2019), contemporary management (Esculier). ITBS: runners SR (van der Worp), conservative SR (Sanchez-Alvarado 2024), RCT (McKay), targets (Friede)
2026-03-07T01:08 | injury_lower_leg | 8 papers found | Achilles: NMA (van der Vlist), loading SR (Maetz), HSR vs eccentric RCT (Beyer), conservative mgmt (Silbernagel). MTSS: risk meta x2 (Reinking, Newman), muscle (Mattock). Calf: risk SR (Green)
2026-03-07T01:09 | injury_stress_fracture | 8 papers found | Risk meta (Wright), RTS meta (Hoenig), tibial biomechanics meta (Milner 2023), RTR guidelines (George 2024), metatarsal SR (Sun), foundational (Milner 2006), workload prevention (Warden x2)
2026-03-07T01:10 | injury_foot | 6 papers found | Treatment meta (Guimaraes 236 RCTs), risk factors meta (Hamstra-Wright), high-load RCT (Rathleff), stepped-care guideline (Morrissey), running biomechanics (Pohl, Wiegand)
2026-03-07T01:11 | return_to_running | 8 papers found | BSI criteria (George), ACL criteria (Rambaud), pain-monitored RCT (Silbernagel 2007), competitive framework (Hegedus), Achilles RTS (Silbernagel 2015), antigravity (Vincent), sprinting criteria (Lorenz)
